_id,Company,Price,Earnings Date,description,20-Day Simple Moving Average,200-Day Simple Moving Average,50-Day,52-Week,Analyst Recom,Average True Range,Average Volume,Beta,Change,EPS ttm,ROI,ratio,performance
52853800bb1177ca391c1809,Apple Inc.,527.87,2013-10-28 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Consumer Goods', 'Industry': 'Electronic Equipment'}",0.0176,0.16720000000000002,"[0.1872, -0.0154]","[0.397, -0.08990000000000001]",2.0,8.53,12913.68,0.84,0.013900000000000001,39.63,0.255,"{'quick': 1.6, 'current': 1.7000000000000002}","{'Year': -0.016900000000000002, 'Half Year': 0.213, 'Month': 0.050100000000000006, 'Week': -0.0006000000000000001}"
52853800bb1177ca391c180a,"American Assets Trust, Inc.",32.17,2013-11-05 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'REIT - Office'}",-0.0269,0.014400000000000001,"[0.1307, -0.07050000000000001]","[0.33030000000000004, -0.1008]",1.8,0.6900000000000001,279.14,,0.0053,0.05,0.043000000000000003,"{'quick': None, 'current': None}","{'Year': 0.2144, 'Half Year': -0.0727, 'Month': -0.0009000000000000001, 'Week': -0.0229}"
52853800bb1177ca391c180b,Almaden Minerals Ltd.,1.24,,"{'Country': 'Canada', 'Sector': 'Basic Materials', 'Industry': 'Gold'}",-0.0722,-0.2745,"[0.0333, -0.2994]","[0.1273, -0.6242]",,0.06,119.04,0.43,-0.008,-0.16,-0.203,"{'quick': 44, 'current': 44.8}","{'Year': -0.5117, 'Half Year': -0.1935, 'Month': 0.0246, 'Week': -0.0385}"
52853800bb1177ca391c180c,Advantage Oil & Gas Ltd.,3.95,2011-03-16 04:00:00+00:00,"{'Country': 'Canada', 'Sector': 'Basic Materials', 'Industry': 'Oil & Gas Drilling & Exploration'}",-0.0001,0.056900000000000006,"[0.11270000000000001, -0.0436]","[0.4158, -0.1242]",2.7,0.12,149.81,2.05,0.0233,-0.34,-0.068,"{'quick': 0.8, 'current': 0.8}","{'Year': 0.1386, 'Half Year': 0.0078000000000000005, 'Month': 0.0158, 'Week': 0.0158}"
52853800bb1177ca391c180d,Atlas Air Worldwide Holdings Inc.,37.94,2013-11-07 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Air Services, Other'}",-0.11570000000000001,-0.1401,"[0.0262, -0.2558]","[0.0363, -0.2558]",2.3,1.46,272.88,1.9100000000000001,0.0026000000000000003,4.45,0.058,"{'quick': 1.2, 'current': 1.2}","{'Year': -0.0891, 'Half Year': -0.1752, 'Month': -0.1406, 'Week': -0.013800000000000002}"
52853800bb1177ca391c180e,iShares MSCI All Country Asia ex Jpn Idx,59.05,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Exchange Traded Fund'}",-0.0173,0.0187,"[0.051500000000000004, -0.045700000000000005]","[0.1555, -0.045700000000000005]",,0.62,710.22,1.29,0.0092,,,"{'quick': None, 'current': None}","{'Year': 0.0629, 'Half Year': -0.025, 'Month': -0.0316, 'Week': -0.023200000000000002}"
52853800bb1177ca391c180f,AllianceBernstein Holding L.P.,21.5,2013-10-24 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Asset Management'}",-0.007,0.0159,"[0.123, -0.0574]","[0.4687, -0.1859]",3.0,0.59,348.08,1.63,-0.0009000000000000001,1.3599999999999999,0.033,"{'quick': None, 'current': None}","{'Year': 0.3884, 'Half Year': -0.1159, 'Month': 0.0847, 'Week': -0.0302}"
52853800bb1177ca391c1810,Abaxis Inc.,35.47,2013-10-22 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Diagnostic Substances'}",-0.0077,-0.1784,"[0.1046, -0.1613]","[0.1046, -0.3158]",2.6,1.09,161.44,0.84,0.0025,0.84,0.154,"{'quick': 7.6, 'current': 9.1}","{'Year': 0.0111, 'Half Year': -0.22160000000000002, 'Month': -0.09580000000000001, 'Week': 0.0111}"
52853800bb1177ca391c1811,ABB Ltd.,25.21,2011-02-17 05:00:00+00:00,"{'Country': 'Switzerland', 'Sector': 'Industrial Goods', 'Industry': 'Industrial Equipment & Components'}",0.006,0.1223,"[0.1522, -0.0304]","[0.48850000000000005, -0.0304]",1.5,0.34,1315.6,1.3599999999999999,0.0048000000000000004,1.25,0.112,"{'quick': 1.2, 'current': 1.5}","{'Year': 0.4403, 'Half Year': 0.1389, 'Month': 0.07730000000000001, 'Week': -0.015300000000000001}"
52853800bb1177ca391c1812,AbbVie Inc.,48.11,2013-10-25 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Drug Manufacturers - Major'}",-0.007,0.1267,"[0.1318, -0.041600000000000005]","[0.5013000000000001, -0.041600000000000005]",2.1,1.02,4582.23,,0.0054,2.85,0.28200000000000003,"{'quick': 2.1, 'current': 2.3}","{'Year': None, 'Half Year': 0.054400000000000004, 'Month': 0.038400000000000004, 'Week': -0.004200000000000001}"
52853800bb1177ca391c1813,AmerisourceBergen Corporation,69.25,2013-10-31 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Drugs Wholesale'}",0.049800000000000004,0.24150000000000002,"[0.20500000000000002, 0.0111]","[0.7566, 0.0111]",2.2,0.9,1359.71,0.68,0.0111,2.1,0.153,"{'quick': 0.5, 'current': 1}","{'Year': 0.7114, 'Half Year': 0.2637, 'Month': 0.09040000000000001, 'Week': 0.0198}"
52853800bb1177ca391c1814,Ameris Bancorp,19.37,2013-10-25 04:00:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Regional - Mid-Atlantic Banks'}",0.053500000000000006,0.16390000000000002,"[0.1056, -0.0067]","[0.8972, -0.023700000000000002]",2.2,0.46,104.42,1.58,0.001,0.86,0.259,"{'quick': None, 'current': None}","{'Year': 0.8394, 'Half Year': 0.1996, 'Month': 0.084, 'Week': 0.0304}"
52853800bb1177ca391c1815,"Cambium Learning Group, Inc.",1.34,2013-11-07 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Education & Training Services'}",0.0037,0.0446,"[0.07200000000000001, -0.22990000000000002]","[0.5952000000000001, -0.2757]",2.0,0.09,48.58,1.7000000000000002,0.0,-2.06,-0.876,"{'quick': 1.2, 'current': 1.4}","{'Year': 0.6543, 'Half Year': 0.1356, 'Month': -0.0074, 'Week': 0.0229}"
52853800bb1177ca391c1816,Advisory Board Co.,62.46,2013-11-04 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Business Services'}",-0.058,0.13090000000000002,"[0.1274, -0.11470000000000001]","[0.4621, -0.11470000000000001]",1.9,1.98,156.83,0.42,0.0071,0.6000000000000001,0.093,"{'quick': 0.9, 'current': 0.9}","{'Year': 0.3315, 'Half Year': 0.2629, 'Month': -0.056400000000000006, 'Week': 0.0368}"
52853800bb1177ca391c1817,Arkansas Best Corporation,31.44,2013-11-11 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Trucking'}",0.13040000000000002,0.6449,"[0.47400000000000003, -0.0166]","[3.9271000000000003, -0.0166]",2.8,1.58,525.42,1.9100000000000001,-0.0082,-0.4,-0.008,"{'quick': 1.3, 'current': 1.3}","{'Year': 3.4336, 'Half Year': 0.8592000000000001, 'Month': 0.33190000000000003, 'Week': 0.19490000000000002}"
52853800bb1177ca391c1818,"Asbury Automotive Group, Inc.",50.28,2013-10-22 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Auto Dealerships'}",0.0129,0.1535,"[0.0801, -0.09920000000000001]","[0.8217, -0.09920000000000001]",2.5,1.55,327.77,2.73,-0.0073,3.09,0.092,"{'quick': 0.4, 'current': 1.3}","{'Year': 0.7334, 'Half Year': 0.2285, 'Month': -0.027600000000000003, 'Week': 0.045}"
52853800bb1177ca391c1819,"ARCA biopharma, Inc.",1.46,2013-11-11 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Biotechnology'}",-0.027600000000000003,-0.2499,"[0.1231, -0.1844]","[0.292, -0.7542]",2.0,0.11,721.78,2.44,0.0,-1.74,,"{'quick': 25.9, 'current': 25.9}","{'Year': -0.0988, 'Half Year': -0.3814, 'Month': -0.058100000000000006, 'Week': 0.0429}"
52853800bb1177ca391c181a,ABM Industries Inc.,27.99,2013-12-09 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Business Services'}",0.0008,0.15860000000000002,"[0.1331, -0.0414]","[0.5976, -0.0414]",2.3,0.48,192.29,1.23,0.0043,1.37,0.062,"{'quick': 1.7000000000000002, 'current': 1.7000000000000002}","{'Year': 0.518, 'Half Year': 0.23700000000000002, 'Month': 0.0315, 'Week': 0.0094}"
52853800bb1177ca391c181b,American Bio Medica Corp.,0.17,2013-11-11 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Diagnostic Substances'}",0.1039,0.0413,"[1.4286, -0.055600000000000004]","[1.4286, -0.3929]",,0.02,13.73,1.71,0.0,-0.05,-0.1961,"{'quick': 0.5700000000000001, 'current': 1.74}","{'Year': -0.055600000000000004, 'Half Year': 0.0625, 'Month': 0.21430000000000002, 'Week': 0.1333}"
52853800bb1177ca391c181c,Abiomed Inc.,27.27,2013-11-06 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Medical Appliances & Equipment'}",0.165,0.3335,"[0.5025000000000001, -0.0148]","[1.311, -0.0148]",2.4,0.9400000000000001,429.23,1.7000000000000002,-0.0148,0.25,0.107,"{'quick': 3.9, 'current': 4.6}","{'Year': 1.0443, 'Half Year': 0.19770000000000001, 'Month': 0.3799, 'Week': 0.0712}"
52853800bb1177ca391c181d,Arbor Realty Trust Inc.,6.8,2013-11-08 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'REIT - Diversified'}",0.008700000000000001,-0.0356,"[0.0863, -0.09330000000000001]","[0.5127, -0.1824]",2.0,0.16,238.76,3.7800000000000002,0.018000000000000002,0.31,0.011,"{'quick': None, 'current': None}","{'Year': 0.3689, 'Half Year': -0.0361, 'Month': -0.013300000000000001, 'Week': 0.0167}"
52853800bb1177ca391c181e,Abbott Laboratories,37.76,2013-10-16 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Medical Appliances & Equipment'}",0.0125,0.0685,"[0.1578, -0.0183]","[0.2772, -0.0183]",2.4,0.65,7776.95,0.43,-0.00030000000000000003,0.81,0.013000000000000001,"{'quick': 1.6, 'current': 1.8}","{'Year': 0.2371, 'Half Year': 0.0339, 'Month': 0.12040000000000001, 'Week': 0.0056}"
52853800bb1177ca391c181f,Autobytel Inc.,11.11,2013-11-07 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Technology', 'Industry': 'Internet Information Providers'}",0.27030000000000004,0.9989,"[0.7496, -0.012400000000000001]","[1.9627, -0.012400000000000001]",1.6,0.76,112.32,1.34,0.0268,0.18,0.042,"{'quick': 2.9, 'current': 2.9}","{'Year': 1.6326, 'Half Year': 1.5399, 'Month': 0.42560000000000003, 'Week': 0.3276}"
52853800bb1177ca391c1820,Companhia de Bebidas Das Americas (AMBEV),37.2,2011-03-03 13:30:00+00:00,"{'Country': 'Brazil', 'Sector': 'Consumer Goods', 'Industry': 'Beverages - Brewers'}",-0.0297,-0.054400000000000004,"[0.10300000000000001, -0.07690000000000001]","[0.12710000000000002, -0.1991]",2.4,0.81,2591.05,0.85,0.0,1.44,0.358,"{'quick': 0.9, 'current': 1.2}","{'Year': -0.0442, 'Half Year': -0.1272, 'Month': -0.034300000000000004, 'Week': -0.0043}"
52853800bb1177ca391c1821,Barrick Gold Corporation,18.13,2011-02-17 13:30:00+00:00,"{'Country': 'Canada', 'Sector': 'Basic Materials', 'Industry': 'Gold'}",-0.0436,-0.1368,"[0.058100000000000006, -0.121]","[0.35250000000000004, -0.4877]",2.6,0.5700000000000001,17602.98,0.46,0.0014,-10.08,-0.017,"{'quick': 1, 'current': 1.8}","{'Year': -0.47400000000000003, 'Half Year': -0.047900000000000005, 'Month': 0.018000000000000002, 'Week': -0.0131}"
52853800bb1177ca391c1822,"ACADIA Pharmaceuticals, Inc.",22.86,2013-11-06 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Biotechnology'}",0.0006000000000000001,0.4127,"[0.16340000000000002, -0.2311]","[11.7, -0.2311]",1.9,1.8,2558.02,2.68,-0.005200000000000001,-0.34,-0.246,"{'quick': 26.5, 'current': 26.5}","{'Year': 9.891, 'Half Year': 0.7663000000000001, 'Month': -0.006500000000000001, 'Week': 0.09430000000000001}"
52853800bb1177ca391c1823,"American Capital, Ltd.",14.35,2013-11-05 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Asset Management'}",0.0159,0.049100000000000005,"[0.123, -0.0217]","[0.2906, -0.058300000000000005]",2.3,0.28,2105.94,2.16,0.0114,2.14,0.064,"{'quick': None, 'current': None}","{'Year': 0.22540000000000002, 'Half Year': 0.005, 'Month': 0.050300000000000004, 'Week': 0.0179}"
52853800bb1177ca391c1824,Arctic Cat Inc.,54.24,2013-10-24 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Consumer Goods', 'Industry': 'Recreational Vehicles'}",0.0047,0.1216,"[0.1419, -0.11270000000000001]","[0.6955, -0.11270000000000001]",2.1,1.8399999999999999,104.22,2.42,-0.0111,3.02,0.228,"{'quick': 0.9, 'current': 2.2}","{'Year': 0.6432, 'Half Year': 0.2058, 'Month': -0.078, 'Week': 0.047}"
52853800bb1177ca391c1825,American Campus Communities Inc.,33.31,2013-10-21 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'REIT - Residential'}",-0.0351,-0.1568,"[0.0285, -0.091]","[0.041100000000000005, -0.2881]",1.8,0.65,905.52,0.6000000000000001,-0.003,0.38,0.024,"{'quick': None, 'current': None}","{'Year': -0.2245, 'Half Year': -0.2376, 'Month': -0.0427, 'Week': -0.0182}"
52853800bb1177ca391c1826,Accelrys Inc.,9.29,2013-10-30 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Technology', 'Industry': 'Application Software'}",-0.018000000000000002,0.0112,"[0.0322, -0.07100000000000001]","[0.19870000000000002, -0.07100000000000001]",2.3,0.21,118.95,0.84,-0.0064,-0.05,-0.08600000000000001,"{'quick': 1.4, 'current': 1.4}","{'Year': 0.0747, 'Half Year': 0.0872, 'Month': -0.0032, 'Week': 0.0108}"
52853800bb1177ca391c1827,ACCO Brands Corporation,6.14,2013-10-30 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Consumer Goods', 'Industry': 'Office Supplies'}",-0.0379,-0.1139,"[0.1052, -0.1729]","[0.1052, -0.3291]",2.1,0.25,803.36,3.43,0.0577,0.1,0.152,"{'quick': 1.3, 'current': 2}","{'Year': -0.16640000000000002, 'Half Year': -0.17470000000000002, 'Month': -0.1724, 'Week': 0.0211}"
52853800bb1177ca391c1828,AdvisorShares Accuvest Global Opport ETF,27.82,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Exchange Traded Fund'}",-0.0058000000000000005,0.0007,"[0.0618, -0.024900000000000002]","[0.097, -0.0791]",,0.19,14.05,,0.0146,,,"{'quick': None, 'current': None}","{'Year': 0.0587, 'Half Year': -0.0814, 'Month': -0.021400000000000002, 'Week': -0.02}"
52853800bb1177ca391c1829,ACE Limited,98.31,2013-10-22 20:30:00+00:00,"{'Country': 'Switzerland', 'Sector': 'Financial', 'Industry': 'Property & Casualty Insurance'}",0.0152,0.0901,"[0.12860000000000002, -0.006500000000000001]","[0.3165, -0.006500000000000001]",2.0,1.21,1158.71,0.98,0.010400000000000001,10.25,0.081,"{'quick': None, 'current': None}","{'Year': 0.28750000000000003, 'Half Year': 0.062, 'Month': 0.0374, 'Week': -0.0049}"
52853800bb1177ca391c182a,Aceto Corp.,19.47,2013-11-07 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Basic Materials', 'Industry': 'Chemicals - Major Diversified'}",0.1433,0.4632,"[0.3634, -0.0313]","[1.1894, -0.0313]",2.0,0.77,235.29,1.5,0.0005,1.03,0.098,"{'quick': 1.6, 'current': 2.6}","{'Year': 1.0857, 'Half Year': 0.7391000000000001, 'Month': 0.1888, 'Week': 0.1787}"
52853800bb1177ca391c182b,Atlantic Coast Financial Corporation,3.47,2013-11-04 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Regional - Southeast Banks'}",-0.0742,-0.21180000000000002,"[0.081, -0.2078]","[1.3767, -0.49560000000000004]",3.0,0.12,2.41,0.8300000000000001,0.0358,-2.22,0.161,"{'quick': None, 'current': None}","{'Year': 0.7539, 'Half Year': -0.3667, 'Month': -0.11380000000000001, 'Week': -0.1184}"
52853800bb1177ca391c182c,"Acorn Energy, Inc.",3.52,2013-11-12 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Industrial Goods', 'Industry': 'Aerospace/Defense Products & Services'}",-0.0499,-0.4874,"[0.2351, -0.4723]","[0.2351, -0.6444000000000001]",2.0,0.34,280.12,0.23,0.057100000000000005,-1.19,-0.343,"{'quick': 2.8, 'current': 3.5}","{'Year': -0.5595, 'Half Year': -0.5988, 'Month': -0.0206, 'Week': -0.0826}"
52853800bb1177ca391c182d,"AllianceBernstein Income Fund, Inc.",7.02,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Closed-End Fund - Debt'}",-0.0085,-0.0519,"[0.043000000000000003, -0.0154]","[0.044500000000000005, -0.1375]",,0.04,897.03,0.17,0.0043,0.18,0.045,"{'quick': None, 'current': None}","{'Year': -0.0839, 'Half Year': -0.1252, 'Month': 0.011600000000000001, 'Week': -0.0196}"
52853800bb1177ca391c182e,Arch Capital Group Ltd.,58.69,2013-10-28 20:30:00+00:00,"{'Country': 'Bermuda', 'Sector': 'Financial', 'Industry': 'Property & Casualty Insurance'}",0.0165,0.10990000000000001,"[0.11660000000000001, -0.0103]","[0.3904, -0.0103]",2.9,0.66,331.9,0.55,0.0041,3.94,0.113,"{'quick': None, 'current': None}","{'Year': 0.3763, 'Half Year': 0.09380000000000001, 'Month': 0.0497, 'Week': 0.0026000000000000003}"
52853800bb1177ca391c182f,Aluminum Corporation Of China Limited,8.81,2011-03-02 05:00:00+00:00,"{'Country': 'China', 'Sector': 'Basic Materials', 'Industry': 'Aluminum'}",-0.0477,-0.054400000000000004,"[0.0176, -0.11170000000000001]","[0.2154, -0.33690000000000003]",5.0,0.2,81.57,1.9,0.0059,-1.76,-0.029,"{'quick': 0.7000000000000001, 'current': 0.7000000000000001}","{'Year': -0.1577, 'Half Year': -0.124, 'Month': -0.0405, 'Week': -0.0437}"
52853800bb1177ca391c1830,"Acadia Healthcare Company, Inc.",44.62,2013-10-29 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Specialized Health Services'}",0.07540000000000001,0.3042,"[0.1937, 0.0027]","[1.1576, 0.0027]",1.6,1.23,213.49,,0.0036000000000000003,0.72,0.023,"{'quick': 1.4, 'current': 1.4}","{'Year': 1.0942, 'Half Year': 0.315, 'Month': 0.1539, 'Week': 0.0533}"
52853800bb1177ca391c1831,"Achillion Pharmaceuticals, Inc.",2.7199999999999998,2013-11-11 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Biotechnology'}",0.0392,-0.6035,"[0.20350000000000001, -0.6421]","[0.20350000000000001, -0.7325]",2.8,0.18,2761.17,0.35000000000000003,0.0112,-0.68,-0.651,"{'quick': 9.9, 'current': 9.9}","{'Year': -0.6604, 'Half Year': -0.6442, 'Month': -0.0324, 'Week': 0.0891}"
52853800bb1177ca391c1832,Arch Coal Inc.,4.14,2013-10-29 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Basic Materials', 'Industry': 'Industrial Metals & Minerals'}",-0.0171,-0.1177,"[0.10400000000000001, -0.2114]","[0.19970000000000002, -0.4702]",2.8,0.23,9000.5,1.6099999999999999,-0.037200000000000004,-3.16,-0.047,"{'quick': 3, 'current': 3.5}","{'Year': -0.37410000000000004, 'Half Year': -0.12240000000000001, 'Month': 0.0437, 'Week': -0.0183}"
52853800bb1177ca391c1833,SPDR MSCI ACWI IMI,60.18,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Exchange Traded Fund'}",-0.0055000000000000005,0.08850000000000001,"[0.0896, -0.0284]","[0.30360000000000004, -0.0284]",,0.54,0.97,,-0.003,,,"{'quick': None, 'current': None}","{'Year': 0.2843, 'Half Year': 0.0813, 'Month': 0.0251, 'Week': -0.0059}"
52853800bb1177ca391c1834,"ACI Worldwide, Inc.",61.86,2013-11-07 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Technology', 'Industry': 'Technical & System Software'}",0.09910000000000001,0.26980000000000004,"[0.2715, -0.0023]","[0.5128, -0.0023]",2.8,1.5899999999999999,329.22,0.54,-0.0006000000000000001,1.58,0.064,"{'quick': 1.6, 'current': 1.6}","{'Year': 0.4575, 'Half Year': 0.37920000000000004, 'Month': 0.1421, 'Week': 0.1739}"
52853800bb1177ca391c1835,Axcelis Technologies Inc.,2.27,2013-11-06 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Technology', 'Industry': 'Semiconductor Equipment & Materials'}",-0.0122,0.3133,"[0.1325, -0.0867]","[1.7622, -0.0867]",2.0,0.11,677.59,2.35,-0.0279,-0.30000000000000004,-0.17500000000000002,"{'quick': 2.5, 'current': 5.3}","{'Year': 1.7738, 'Half Year': 0.6763, 'Month': 0.013000000000000001, 'Week': 0.031}"
52853800bb1177ca391c1836,AECOM Technology Corporation,29.31,2013-11-12 13:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Technical Services'}",-0.07350000000000001,-0.0495,"[0.0357, -0.1091]","[0.5426, -0.1683]",2.0,0.79,637.61,1.31,0.012400000000000001,-0.45,-0.006,"{'quick': 1.6, 'current': 1.6}","{'Year': 0.5342, 'Half Year': -0.0625, 'Month': -0.07150000000000001, 'Week': -0.0862}"
52853800bb1177ca391c1837,"Access Midstream Partners, L.P.",52.1,2013-10-29 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Basic Materials', 'Industry': 'Oil & Gas Refining & Marketing'}",0.0184,0.19340000000000002,"[0.1761, -0.0327]","[0.808, -0.0327]",1.6,1.23,316.71,0.42,0.019200000000000002,1.19,0.029,"{'quick': 0.7000000000000001, 'current': 0.7000000000000001}","{'Year': 0.6554, 'Half Year': 0.2131, 'Month': 0.0663, 'Week': -0.0315}"
